Post Owner,Caption,Likes,Number of Comments,Image URLs,Media Count
kelzangtextiles,"We managed to get Pala model our new organic hand spun cotton and nettle totes next to his shop today. Needless to say he nailed it. Looking smart in his impeccable work clothes. We are thrilled to have Pala here because we have been neighbors for 30 odd years and still counting. Pala’s little shop is just as it was during the early nineties,the treats and the candies still in the old vintage jars. As retro as it can get. A little corner of nostalgia and happinesses. We wish Pala good health and hoping we remain neighbors for many more years to come. 

P.s- The cotton is grown and hand spun in Pemagatshel in eastern Bhutan and can be sourced in scarce quantity.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutanese#bhutan#nettlefiber#nettle#tote#handmadebag#bhutanesebag#organiccotton#handspun#nettle",124,2,,6
kelzangtextiles,"All new Bura( Rawsilk) laptop sleeves in stock. The pattern is inspired from women’s Ada Rachu (ceremonial scarf), imparting traditional touch to modern utility. Its sturdy handwoven fabric provides the perfect protection for your device. Also available in a range of colors. Happy weekend ahead 🪻🪻.

#textilesofbhutan#textiles#textile#bhutanesetextile#bhutanesetextiles#textilelover#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftsofbhutan#bhutanesedress#traditionalscarf#bhutan#weavers#bhutaneseartsandcrafts#sustainability#homebased",85,1,,6
kelzangtextiles,"Our grandparents in the village would often mention the concept of extracting various hues from the natural world. Initially, this was met with skepticism, as people could not fathom such a process. However, as time progressed, we learned and took part in the process of natural dyeing. This process of natural dyeing endorsed the claims of our grandparents and their way of life. Nature presents itself as an extraordinary endowment. Our venture into dyeing has led us to utilize wild berries, which has resulted in an exceptional chromatic outcome. 
#bhutan#naturaldyeing#nature",79,0,,6
kelzangtextiles,"Currently, Bhutan is experiencing a remarkable rhododendron season and we took the opportunity to collect the exquisite petals from the forest. The petals of the rhododendron are then boiled to dye the yarns. You can be confident that our dyes are entirely organic, guaranteeing the highest standard of quality and environmental sustainability in the art of dyeing.
We are enthusiastic in using natural flowers for dyeing purposes at Kelzang Handicraft😊#naturaldye#bhutanesetextiles#bhutan#handmade",78,0,,3
kelzangtextiles,"Elegant and sturdy! By choosing our Handwoven Natural Dye Handspun Cotton Stole , you are not just embracing style; you’re supporting sustainable fashion 🤗. Wrap yourself in the elegance of nature and tradition with this beautiful stole woven by our home based weavers 💛.

#stole#scarf#handwovenscarf#handwovenstole#rawsilk#runner#tablerunner#textilesofbhutan#silk#naturaldyed#vegetabledyed#runner#ethinic#craft#weave##placemat#mats#weaver#intricate#textilelovers#handloom#kelzanghandicraft#kelzangtextiles#thimphu#naturaldyedrunner#bhutan",60,0,,1
kelzangtextiles,"It’s been a minute , hope everyone is doing well 💜. Just wanted to share our silk kimono sleeve tego with detailed back. Different color  options coming soon! Don’t forget to check on us for update 😊.

#textilesofbhutan#textilelover#handmade#runner#tablerunner#textilesofbhutan#silk#naturaldyed#vegetabledyed#runner#ethinic#craft#weave#placemat#mats#kira#weaver#intricate#textilelovers#handloom#kelzanghandicraft#kelzangtextiles#thimphu#naturaldyedrunner#tego#tegojacket#bhutan",160,2,,3
kelzangtextiles,"Mr. Tomonori Matsuura, CEO of Sun Smile Co Ltd, an organic food manufacturer based in Japan has been one of our loyal and gracious customer and an ardent textile enthusiast. This time around Mr. Tomonori bought a set of assorted handwoven neck ties for his staff in Japan. We are overjoyed to receive the pictures of the staff wearing them and would like to thank Tomonori san for his support and kindness.",199,1,,3
kelzangtextiles,"Our exclusive silk ‘Keras’ are too pretty not to make another post for you guys to enjoy! ☺️. Wishing everyone a wonderful week ahead 💛.",151,1,,4
kelzangtextiles,"""Summertime threads: Embrace the sun-kissed season with our vibrant blue silk Kira with soft natural dye traditional motifs. “
Traditional patterns and motifs depicting flowers, animals, and natural elements are meticulously woven into the fabric, reflecting the beauty and abundance of the summer season. The textiles not only serve as practical garments but also as artistic expressions of Bhutan's natural environment and its people's deep connection to their land. Whether worn for everyday use or during festive occasions, Bhutanese traditional textile embody a sense of joy, celebration, and a profound appreciation for nature's bountiful gifts.
🌺🌻🌞🌸🌿",138,4,,4
kelzangtextiles,"This gorgeous natural dye rawsilk runner in all its glory of oversized thrima motifs can make a splendid runner or a wall tapestry 💛.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutanesedress#kira#runner#handwovenrunner",89,1,,1
